CMDLINE /home/oscar/anaconda2/envs/devito_newest/bin/python ./utest_nodask_naws.py
MEM 1.554688 1571167657.1258
MEM 19.835938 1571167657.2261
MEM 31.066406 1571167657.3265
MEM 38.324219 1571167657.4268
MEM 74.054688 1571167657.5271
MEM 84.578125 1571167657.6274
MEM 90.855469 1571167657.7278
MEM 98.910156 1571167657.8282
MEM 99.101562 1571167657.9285
MEM 104.707031 1571167658.0289
MEM 107.207031 1571167658.1292
MEM 108.671875 1571167658.2296
MEM 117.425781 1571167658.3299
MEM 121.718750 1571167658.4303
MEM 142.023438 1571167658.5306
MEM 387.718750 1571167658.6310
MEM 611.140625 1571167658.7314
MEM 612.699219 1571167658.8318
MEM 612.699219 1571167658.9320
MEM 612.699219 1571167659.0324
MEM 612.699219 1571167659.1327
MEM 612.699219 1571167659.2329
MEM 612.699219 1571167659.3332
MEM 612.699219 1571167659.4335
MEM 612.699219 1571167659.5337
MEM 612.699219 1571167659.6340
MEM 612.699219 1571167659.7343
MEM 612.699219 1571167659.8346
MEM 612.699219 1571167659.9349
MEM 612.699219 1571167660.0352
MEM 612.699219 1571167660.1355
MEM 612.699219 1571167660.2358
MEM 612.699219 1571167660.3361
MEM 612.699219 1571167660.4363
MEM 612.699219 1571167660.5366
MEM 612.699219 1571167660.6369
MEM 612.699219 1571167660.7372
MEM 612.699219 1571167660.8375
MEM 613.160156 1571167660.9378
MEM 613.914062 1571167661.0381
MEM 615.195312 1571167661.1384
MEM 616.808594 1571167661.2388
MEM 616.980469 1571167661.3390
MEM 617.359375 1571167661.4393
MEM 617.589844 1571167661.5396
MEM 617.605469 1571167661.6400
MEM 618.046875 1571167661.7403
MEM 618.757812 1571167661.8406
MEM 619.210938 1571167661.9409
MEM 619.355469 1571167662.0413
MEM 619.679688 1571167662.1416
MEM 619.679688 1571167662.2419
MEM 620.230469 1571167662.3422
MEM 620.605469 1571167662.4425
MEM 620.863281 1571167662.5428
MEM 621.023438 1571167662.6431
MEM 621.480469 1571167662.7434
MEM 621.984375 1571167662.8437
MEM 622.152344 1571167662.9440
MEM 622.152344 1571167663.0444
MEM 622.179688 1571167663.1446
MEM 622.234375 1571167663.2449
MEM 622.343750 1571167663.3452
MEM 622.984375 1571167663.4455
MEM 622.984375 1571167663.5458
MEM 622.984375 1571167663.6461
MEM 622.984375 1571167663.7467
MEM 622.984375 1571167663.8470
MEM 622.988281 1571167663.9473
MEM 622.988281 1571167664.0476
MEM 622.988281 1571167664.1479
MEM 622.988281 1571167664.2482
MEM 622.988281 1571167664.3485
MEM 622.988281 1571167664.4487
MEM 622.988281 1571167664.5490
MEM 622.988281 1571167664.6493
MEM 622.988281 1571167664.7496
MEM 623.160156 1571167664.8499
MEM 623.160156 1571167664.9502
MEM 623.160156 1571167665.0505
MEM 623.160156 1571167665.1508
MEM 623.160156 1571167665.2511
MEM 623.160156 1571167665.3514
MEM 623.160156 1571167665.4517
MEM 623.160156 1571167665.5520
MEM 623.160156 1571167665.6523
MEM 623.160156 1571167665.7526
MEM 623.160156 1571167665.8529
MEM 623.160156 1571167665.9532
MEM 623.160156 1571167666.0535
MEM 623.417969 1571167666.1538
MEM 623.417969 1571167666.2540
MEM 623.417969 1571167666.3544
MEM 623.542969 1571167666.4546
MEM 623.773438 1571167666.5550
MEM 623.773438 1571167666.6552
MEM 623.917969 1571167666.7556
MEM 623.917969 1571167666.8559
MEM 623.917969 1571167666.9562
MEM 623.917969 1571167667.0565
MEM 623.917969 1571167667.1568
MEM 624.050781 1571167667.2570
MEM 624.050781 1571167667.3574
MEM 624.769531 1571167667.4577
MEM 624.921875 1571167667.5580
